pkt_size,duration,seq,ack,label
251,1.83,2407,6537,0
1538,4.39,31770,48423,1
490,4.68,7687,4997,0
1006,4.5,33434,49308,1
1356,0.55,1770,7679,0
1575,6.9,30195,33107,1
267,3.9,6853,5405,0
1211,4.19,15699,62609,1
684,4.0,2653,8328,0
1549,4.2,91803,28932,1
468,1.8,5116,3638,0
1516,4.36,28734,19779,1
551,0.91,6667,9510,0
1385,3.25,40145,16611,1
684,0.43,7844,7949,0
1559,6.11,58817,24217,1
706,4.71,8725,9023,0
1541,5.69,85305,90870,1
834,4.74,5100,8617,0
1181,5.71,65280,17242,1
351,4.97,3492,1483,0
1567,7.72,21845,41936,1
1093,4.49,7917,2431,0
1525,3.62,73447,84296,1
1388,2.87,9002,3116,0
1596,2.88,82027,13082,1
556,3.35,7508,1861,0
1404,5.48,87331,97613,1
412,3.38,4368,6677,0
1530,5.18,75573,18277,1
226,1.99,5541,5607,0
1194,6.9,49487,74386,1
1077,1.76,9839,8645,0
1388,6.72,37576,80124,1
880,1.34,8313,9454,0
1333,7.99,19074,21618,1
826,3.41,3623,9294,0
1283,7.93,24773,17872,1
989,4.22,8306,3622,0
1546,5.33,54302,81147,1
640,2.61,2630,3186,0
1304,6.71,52039,95051,1
1248,4.04,5352,8924,0
1320,3.16,33690,29888,1
334,0.93,1663,1841,0
1584,7.64,52465,47147,1
825,1.38,1723,5742,0
1320,7.4,54225,82243,1
766,4.54,4324,3304,0
1357,4.32,30005,61411,1
806,0.95,5059,2028,0
1214,3.93,63603,90281,1
967,4.36,7927,6225,0
1020,5.68,98559,83082,1
1055,3.86,3793,5446,0
1522,3.28,89112,36757,1
1092,3.32,7156,3819,0
1012,3.84,60291,15650,1
1294,1.47,5291,6309,0
1569,5.44,93537,41723,1
251,3.84,3295,2262,0
1439,6.92,25517,78360,1
998,2.95,3828,6262,0
1400,5.62,50644,68399,1
759,1.19,2609,3364,0
1357,4.46,97152,46024,1
901,0.74,6690,7893,0
1410,6.37,36653,55766,1
1063,4.37,3211,8907,0
1276,3.28,60984,75961,1
1371,2.72,7157,4940,0
1252,3.43,42798,32175,1
1004,4.8,8712,9889,0
1210,5.7,52976,23533,1
781,1.1,9421,5421,0
1217,2.88,53154,94724,1
1098,1.09,3460,1831,0
